id,c_source,gene,gr,lag,upper_asymptote
60447,Acetate,b0384,0,1800,2.306666667
60448,Acetate,b0385,0,1800,0.676666667
60449,Acetate,b0386,0,1800,0
60450,Acetate,b0387,0,1800,1.076666667
60451,Acetate,b0388,0,1800,2.868333333
60452,Acetate,b0389,0,1800,1.393333333
60453,Acetate,b0390,0,1800,1.013333333
60454,Acetate,b0391,0,1800,0.71
60455,Acetate,b0392,0,1800,2.1
60457,Acetate,b0394,0,1800,1.996666667
60459,Acetate,b0397,0,1800,2.696666667
60460,Acetate,b0398,0,1800,2.226666667
60461,Acetate,b0399,0,1800,2.323333333
60462,Acetate,b0400,0,1800,1.126666667
60463,Acetate,b0401,0,1800,1.836666667
60464,Acetate,b0402,0,1800,2.246666667
60465,Acetate,b0403,0,1800,3.98
60466,Acetate,b0404,0,1800,1.366666667
60467,Acetate,b0405,0,1800,2.536666667
60468,Acetate,b0406,0,1800,2
60469,Acetate,b0407,0,1800,2.346666667
60470,Acetate,b0410,0,1800,2.936666667
60471,Acetate,b0411,0,1800,2.413333333
60472,Acetate,b0412,0,1800,2.796666667
60473,Acetate,b0413,0,1800,1.666666667
60474,Acetate,b0416,0,1800,3.55
60475,Acetate,b0418,0,1800,3.07
60476,Acetate,b0419,0,1800,2.003333333
60477,Acetate,b0422,0,1800,1.88
60478,Acetate,b0423,0,1800,1.403333333
60479,Acetate,b0424,0,1800,1.726666667
60480,Acetate,b0425,0,1800,2.39
60481,Acetate,b0426,0,1800,3.03
60482,Acetate,b0427,0,1800,1.706666667
60483,Acetate,b0428,0,1800,0.913333333
60484,Acetate,b0429,0,1800,0.913333333
60485,Acetate,b0430,0,1800,0.536666667
60486,Acetate,b0431,0,1800,1.02
60487,Acetate,b0432,0,1800,0.84
60489,Acetate,b0434,0,1800,3.05
60490,Acetate,b0435,0,1800,2.44
60491,Acetate,b0436,0,1800,2.71
60492,Acetate,b0437,0,1800,0.026666667
60493,Acetate,b0438,0,1800,1.145
60494,Acetate,b0439,0,1800,-0.01
60496,Acetate,b0441,0,1800,2.218333333
60497,Acetate,b0442,0,1800,1.386666667
60498,Acetate,b0443,0,1800,0.86
60499,Acetate,b0444,0,1800,1.486666667
60500,Acetate,b0445,0,1800,2.056666667
60501,Acetate,b0446,0,1800,0.906666667
60502,Acetate,b0447,0,1800,2.933333333
60503,Acetate,b0448,0,1800,3.16
60504,Acetate,b0449,0,1800,1.426666667
60505,Acetate,b0450,0,1800,2.04
60506,Acetate,b0451,0,1800,2.121666667
60507,Acetate,b0452,0,1800,2.993333333
60508,Acetate,b0453,0,1800,1.97
60509,Acetate,b0454,0,1800,3.82
60511,Acetate,b0457,0,1800,2.576666667
60512,Acetate,b0458,0,1800,2.483333333
60513,Acetate,b0459,0,1800,2.8
60514,Acetate,b0460,0,1800,2.846666667
60515,Acetate,b0461,0,1800,1.57
60516,Acetate,b0462,0,1800,2.923333333
60517,Acetate,b0463,0,1800,2.743333333
60518,Acetate,b0464,0,1800,2.27
60519,Acetate,b0465,0,1800,2.778333333
60520,Acetate,b0466,0,1800,2.23
60521,Acetate,b0467,0,1800,3.27
60522,Acetate,b0468,0,1800,0.81
60523,Acetate,b0469,0,1800,3.9
60524,Acetate,b0471,0,1800,1.263333333
60525,Acetate,b0472,0,1800,1.703333333
60526,Acetate,b0473,0,1800,1.86
60527,Acetate,b0476,0,1800,1.566666667
60528,Acetate,b0477,0,1800,2.87
60529,Acetate,b0478,0,1800,1.863333333
60530,Acetate,b0479,0,1800,2.666666667
60531,Acetate,b0480,0,1800,1.53
60532,Acetate,b0481,0,1800,2.88
60533,Acetate,b0482,0,1800,0.93
60534,Acetate,b0483,0,1800,3.263333333
60535,Acetate,b0484,0,1800,2.306666667
60536,Acetate,b0485,0,1800,1.626666667
60537,Acetate,b0486,0,1800,3.033333333
60538,Acetate,b0487,0,1800,1.47
60539,Acetate,b0488,0,1800,2.74
60540,Acetate,b0489,0,1800,1.066666667
60542,Acetate,b0491,0,1800,2.433333333
60543,Acetate,b0492,0,1800,2.623333333
60544,Acetate,b0493,0,1800,0.82
60545,Acetate,b0494,0,1800,1.833333333
60546,Acetate,b0495,0,1800,3.023333333
60547,Acetate,b0496,0,1800,2.653333333
60548,Acetate,b0497,0,1800,1.24
60549,Acetate,b0498,0,1800,1.306666667
60551,Acetate,b0501,0,1800,1.386666667
60552,Acetate,b0503,0,1800,3.14
60553,Acetate,b0504,0,1800,1.726666667
60554,Acetate,b0505,0,1800,3.91
60556,Acetate,b0507,0,1800,2.986666667
60557,Acetate,b0508,0,1800,3.126666667
60558,Acetate,b0509,0,1800,3.291666667
60559,Acetate,b0511,0,1800,2.343333333
60560,Acetate,b0512,0,1800,2.126666667
60561,Acetate,b0513,0,1800,2.556666667
60562,Acetate,b0514,0,1800,1.85
60563,Acetate,b0515,0,1800,2.46
60564,Acetate,b0516,0,1800,1.253333333
60565,Acetate,b0517,0,1800,2.223333333
60566,Acetate,b0518,0,1800,1.89
60567,Acetate,b0520,0,1800,2.99
60568,Acetate,b0521,0,1800,1.886666667
60569,Acetate,b0522,0,1800,0
60570,Acetate,b0523,0,1800,0
60571,Acetate,b0525,0,1800,3.26
60572,Acetate,b0527,0,1800,2.576666667
60574,Acetate,b0530,0,1800,1.173333333
60575,Acetate,b0531,0,1800,2.641666667
60576,Acetate,b0532,0,1800,2.21
60577,Acetate,b0533,0,1800,3.536666667
60578,Acetate,b0534,0,1800,0.97
60579,Acetate,b0535,0,1800,1.96
60580,Acetate,b0537,0,1800,1.796666667
60581,Acetate,b0539,0,1800,1.733333333
60583,Acetate,b0543,0,1800,3.84
60584,Acetate,b0544,0,1800,3.313333333
60585,Acetate,b0545,0,1800,1.5
60586,Acetate,b0546,0,1800,1.053333333
60587,Acetate,b0547,0,1800,0.793333333
60588,Acetate,b0548,0,1800,0.896666667
60589,Acetate,b0549,0,1800,2.823333333
60590,Acetate,b0550,0,1800,3.436666667
60591,Acetate,b0551,0,1800,1.856666667
60592,Acetate,b0553,0,1800,0.613333333
60593,Acetate,b0554,0,1800,1.223333333
60594,Acetate,b0555,0,1800,2.583333333
60595,Acetate,b0556,0,1800,3.476666667
60597,Acetate,b0558,0,1800,2.663333333
60598,Acetate,b0559,0,1800,1.753333333
60599,Acetate,b0560,0,1800,1.336666667
60600,Acetate,b0561,0,1800,3
60601,Acetate,b0562,0,1800,3.313333333
60602,Acetate,b0563,0,1800,2.976666667
60603,Acetate,b0564,0,1800,2.586666667
60604,Acetate,b0565,0,1800,2.89
60605,Acetate,b0566,0,1800,2.301666667
60606,Acetate,b0567,0,1800,1.62
60607,Acetate,b0568,0,1800,1.523333333
60608,Acetate,b0569,0,1800,2.843333333
60609,Acetate,b0570,0,1800,3.526666667
60610,Acetate,b0571,0,1800,1.653333333
60611,Acetate,b0572,0,1800,2.66
60612,Acetate,b0573,0,1800,2.4
60613,Acetate,b0574,0,1800,2.05
60614,Acetate,b0575,0,1800,1.946666667
60615,Acetate,b0576,0,1800,2.786666667
60616,Acetate,b0577,0,1800,2.236666667
60617,Acetate,b0578,0,1800,3.08
60618,Acetate,b0579,0,1800,2.683333333
60619,Acetate,b0580,0,1800,2.116666667
60620,Acetate,b0581,0,1800,2.593333333
60621,Acetate,b0584,0,1800,3.476666667
60622,Acetate,b0585,0,1800,0.2
60623,Acetate,b0586,0,1800,1.226666667
60624,Acetate,b0587,0,1800,2.99
60625,Acetate,b0588,0,1800,0.196666667
60626,Acetate,b0589,0,1800,0
60627,Acetate,b0590,0,1800,0
60628,Acetate,b0591,0,1800,2.998333333
60629,Acetate,b0592,0,1800,0.09
60630,Acetate,b0593,0,1800,1.473333333
60631,Acetate,b0594,0,1800,1.071666667
60632,Acetate,b0595,0,1800,2.246666667
60633,Acetate,b0596,0,1800,0.643333333
60634,Acetate,b0597,0,1800,1.98
60635,Acetate,b0598,0,1800,3.28
60638,Acetate,b0601,0,1800,2.353333333
60639,Acetate,b0602,0,1800,0.383333333
60640,Acetate,b0603,0,1800,3.13
60641,Acetate,b0604,0,1800,2.03
60642,Acetate,b0605,0,1800,2.343333333
60643,Acetate,b0606,0,1800,2.543333333
60644,Acetate,b0607,0,1800,1.903333333
60645,Acetate,b0608,0,1800,2.04
60646,Acetate,b0610,0,1800,2.116666667
60647,Acetate,b0611,0,1800,3.98
60648,Acetate,b0612,0,1800,2.47
60649,Acetate,b0613,0,1800,0.443333333
60650,Acetate,b0614,0,1800,3.04
60651,Acetate,b0615,0,1800,0.946666667
60652,Acetate,b0616,0,1800,1.74
60653,Acetate,b0617,0,1800,2.216666667
60654,Acetate,b0618,0,1800,1.613333333
60655,Acetate,b0619,0,1800,2.903333333
60656,Acetate,b0620,0,1800,1.526666667
60658,Acetate,b0623,0,1800,2.793333333
60659,Acetate,b0624,0,1800,0.326666667
60660,Acetate,b0627,0,1800,3.213333333
60661,Acetate,b0628,0,1800,0
60662,Acetate,b0629,0,1800,2.07
60663,Acetate,b0630,0,1800,0.09
60664,Acetate,b0631,0,1800,1.14
60665,Acetate,b0632,0,1800,1.996666667
60666,Acetate,b0633,0,1800,2.46
60667,Acetate,b0636,0,1800,1.82
60669,Acetate,b0638,0,1800,1.863333333
60670,Acetate,b0643,0,1800,3.415
60672,Acetate,b0645,0,1800,2.56
60673,Acetate,b0647,0,1800,2.926666667
60674,Acetate,b0648,0,1800,1.83
60675,Acetate,b0649,0,1800,2.543333333
60676,Acetate,b0650,0,1800,1.463333333
60678,Acetate,b0652,0,1800,2.903333333
60679,Acetate,b0653,0,1800,2.626666667
60680,Acetate,b0654,0,1800,2.45
60681,Acetate,b0655,0,1800,1.12
60682,Acetate,b0658,0,1800,3.293333333
60683,Acetate,b0659,0,1800,2.826666667
